i	Name	FromNode	ToNode	Type	Direction	Length 	SpeedLimit	FreeFlowTime	Capacity	alpha	beta
1	Link1	1	2	1	1	6	60	6	26	0.15	4
2	Link2	1	3	1	1	4	60	4	23	0.15	4
3	Link3	2	1	1	1	6	60	6	26	0.15	4
4	Link4	2	6	1	1	5	60	5	5	0.15	4
5	Link5	3	1	1	1	4	60	4	23	0.15	4
6	Link6	3	4	1	1	4	60	4	17	0.15	4
7	Link7	3	12	1	1	4	60	4	23	0.15	4
8	Link8	4	3	1	1	4	60	4	17	0.15	4
9	Link9	4	5	1	1	2	60	2	18	0.15	4
10	Link10	4	11	1	1	6	60	6	5	0.15	4
11	Link11	5	4	1	1	2	60	2	18	0.15	4
12	Link12	5	6	1	1	4	60	4	5	0.15	4
13	Link13	5	9	1	1	5	60	5	10	0.15	4
14	Link14	6	2	1	1	5	60	5	5	0.15	4
15	Link15	6	5	1	1	4	60	4	5	0.15	4
16	Link16	6	8	1	1	2	60	2	5	0.15	4
17	Link17	7	8	1	1	3	60	3	8	0.15	4
18	Link18	7	18	1	1	2	60	2	23	0.15	4
19	Link19	8	6	1	1	2	60	2	5	0.15	4
20	Link20	8	7	1	1	3	60	3	8	0.15	4
21	Link21	8	9	1	1	10	60	10	5	0.15	4
22	Link22	8	16	1	1	5	60	5	5	0.15	4
23	Link23	9	5	1	1	5	60	5	10	0.15	4
24	Link24	9	8	1	1	10	60	10	5	0.15	4
25	Link25	9	10	1	1	3	60	3	14	0.15	4
26	Link26	10	9	1	1	3	60	3	14	0.15	4
27	Link27	10	11	1	1	5	60	5	10	0.15	4
28	Link28	10	15	1	1	6	60	6	14	0.15	4
29	Link29	10	16	1	1	4	60	4	5	0.15	4
30	Link30	10	17	1	1	8	60	8	5	0.15	4
31	Link31	11	4	1	1	6	60	6	5	0.15	4
32	Link32	11	10	1	1	5	60	5	10	0.15	4
33	Link33	11	12	1	1	6	60	6	5	0.15	4
34	Link34	11	14	1	1	4	60	4	5	0.15	4
35	Link35	12	3	1	1	4	60	4	23	0.15	4
36	Link36	12	11	1	1	6	60	6	5	0.15	4
37	Link37	12	13	1	1	3	60	3	26	0.15	4
38	Link38	13	12	1	1	3	60	3	26	0.15	4
39	Link39	13	24	1	1	4	60	4	5	0.15	4
40	Link40	14	11	1	1	4	60	4	5	0.15	4
41	Link41	14	15	1	1	5	60	5	5	0.15	4
42	Link42	14	23	1	1	4	60	4	5	0.15	4
43	Link43	15	10	1	1	6	60	6	14	0.15	4
44	Link44	15	14	1	1	5	60	5	5	0.15	4
45	Link45	15	19	1	1	3	60	3	15	0.15	4
46	Link46	15	22	1	1	3	60	3	10	0.15	4
47	Link47	16	8	1	1	5	60	5	5	0.15	4
48	Link48	16	10	1	1	4	60	4	5	0.15	4
49	Link49	16	17	1	1	2	60	2	5	0.15	4
50	Link50	16	18	1	1	3	60	3	20	0.15	4
51	Link51	17	10	1	1	8	60	8	5	0.15	4
52	Link52	17	16	1	1	2	60	2	5	0.15	4
53	Link53	17	19	1	1	2	60	2	5	0.15	4
54	Link54	18	7	1	1	2	60	2	23	0.15	4
55	Link55	18	16	1	1	3	60	3	20	0.15	4
56	Link56	18	20	1	1	4	60	4	23	0.15	4
57	Link57	19	15	1	1	3	60	3	15	0.15	4
58	Link58	19	17	1	1	2	60	2	5	0.15	4
59	Link59	19	20	1	1	4	60	4	5	0.15	4
60	Link60	20	18	1	1	4	60	4	23	0.15	4
61	Link61	20	19	1	1	4	60	4	5	0.15	4
62	Link62	20	21	1	1	6	60	6	5	0.15	4
63	Link63	20	22	1	1	5	60	5	5	0.15	4
64	Link64	21	20	1	1	6	60	6	5	0.15	4
65	Link65	21	22	1	1	2	60	2	5	0.15	4
66	Link66	21	24	1	1	3	60	3	5	0.15	4
67	Link67	22	15	1	1	3	60	3	10	0.15	4
68	Link68	22	20	1	1	5	60	5	5	0.15	4
69	Link69	22	21	1	1	2	60	2	5	0.15	4
70	Link70	22	23	1	1	4	60	4	5	0.15	4
71	Link71	23	14	1	1	4	60	4	5	0.15	4
72	Link72	23	22	1	1	4	60	4	5	0.15	4
73	Link73	23	24	1	1	2	60	2	5	0.15	4
74	Link74	24	13	1	1	4	60	4	5	0.15	4
75	Link75	24	21	1	1	3	60	3	5	0.15	4
76	Link76	24	23	1	1	2	60	2	5	0.15	4
